Camera Pair,Mean Reprojection Error
000068700312 & 000325420812,0.14220213256820347
000325420812 & 000365930112,0.12377142116333875
000325420812 & 000368930112,0.12479928300806975
000325420812 & 000409930112,0.1220974278736782
000325420812 & 000436120812,0.12403184148757586
Overall Mean,0.12738042122017318
